month,hour,n,actual_mean,mu_pre,sigma_pre,drift_mw,drift_sigma
9,10,30,15939.0,16761.27536231884,2064.93870053878,822.27536231884,0.398208122160863
9,11,30,16200.0,16906.08550724638,2113.6622335819507,706.0855072463783,0.3340578717015724
9,12,30,16499.433333333334,17041.589855072463,2210.680793067469,542.156521739129,0.24524414535074063
9,13,30,16636.166666666668,17071.017391304347,2262.9447740710243,434.8507246376794,0.1921614392097539
9,14,30,16882.333333333332,17151.630434782608,2269.9917977003306,269.29710144927594,0.11863351300303984
9,15,30,17461.466666666667,17441.59275362319,2229.8122775855095,-19.873913043476932,-0.008912818914512772
9,16,30,18067.066666666666,17672.27536231884,2099.557294438207,-394.79130434782564,-0.18803549938534192
9,17,30,18040.566666666666,17520.33043478261,1934.174909751105,-520.2362318840569,-0.2689706237327845
9,18,30,17917.7,17595.11739130435,1775.5514294993625,-322.5826086956513,-0.18168023935336372
9,19,30,17679.733333333334,17668.01594202899,1807.1737000185292,-11.717391304344346,-0.006483821286367882
9,20,30,16943.066666666666,16904.99420289855,1728.1239011347434,-38.072463768115995,-0.02203109611707607
9,21,30,15878.466666666667,15792.107246376812,1547.4831375657939,-86.35942028985482,-0.055806372420767726
9,22,30,14869.333333333334,14593.911594202898,1369.2100863922071,-275.4217391304355,-0.20115374687032622
9,23,30,13972.133333333333,13652.340579710144,1231.9424494619539,-319.7927536231891,-0.25958416625943637
10,0,31,13250.806451612903,12681.279102384291,853.8846225795636,-569.5273492286124,-0.6669839626670929
10,1,31,13049.193548387097,12425.12762973352,845.6533072075929,-624.0659186535759,-0.7379689919433836
10,2,31,12947.354838709678,12295.51332398317,832.7460075525381,-651.8415147265077,-0.7827615008834287
10,3,31,13016.935483870968,12349.004207573633,850.8611574469265,-667.931276297335,-0.7850061910235901
10,4,31,13328.516129032258,12765.914446002806,938.0141614647608,-562.601683029452,-0.5997795194807277
10,5,31,14295.935483870968,13852.158485273492,1257.9437548223632,-443.77699859747554,-0.3527796826338569
10,6,31,15354.064516129032,15133.258064516129,1695.5782748425872,-220.8064516129034,-0.13022486480808587
10,7,31,15660.516129032258,15636.37587657784,1658.3218196100468,-24.14025245441735,-0.014557037222180382
10,8,31,15665.225806451614,15835.506311360448,1525.8561394103965,170.2805049088347,0.11159669677289007
10,9,31,15533.548387096775,15955.47685834502,1538.2453002520103,421.92847124824584,0.27429205938683604
10,10,31,15417.161290322581,15980.900420757363,1559.8130982867576,563.739130434782,0.36141453809688656
10,11,31,15451.58064516129,15919.95932678822,1539.8625156693624,468.3786816269294,0.30416915592190386
10,12,31,15491.0,15872.774193548386,1570.6747434725369,381.7741935483864,0.24306381390225856
10,13,31,15528.870967741936,15780.622720897616,1559.5114653475396,251.7517531556805,0.16142988285089474
10,14,31,15700.677419354839,15803.680224403926,1521.4735396547692,103.00280504908733,0.06769937324868577
10,15,31,16211.806451612903,16131.099579242637,1461.5030713035046,-80.70687237026686,-0.05522182878362682
10,16,31,16757.09677419355,16490.102384291724,1352.0103672095333,-266.99438990182534,-0.19747954333581438
10,17,31,16903.677419354837,16775.357643758765,1335.8996651884502,-128.31977559607185,-0.09605495003845987
10,18,31,16913.74193548387,17058.112201963533,1352.4085251334784,144.37026647966195,0.10675048537231978
10,19,31,16587.90322580645,16681.176718092567,1338.0801670055382,93.27349228611638,0.0697069537282293
10,20,31,15973.064516129032,16014.880785413745,1261.3640405491135,41.81626928471269,0.033151626287450435
10,21,31,15131.09677419355,15056.005610098176,1137.1965022809115,-75.09116409537273,-0.06603182822384696
10,22,31,14331.58064516129,13982.408134642355,1009.1233166984671,-349.17251051893436,-0.3460156997078579
10,23,31,13683.645161290322,13158.924263674615,903.6972636098634,-524.7208976157071,-0.5806379179678862
11,0,30,15081.766666666666,13922.733333333334,1040.2340928718445,-1159.0333333333328,-1.1142043327319828
11,1,30,14753.666666666666,13505.902898550725,1004.4009287535498,-1247.7637681159413,-1.2422965096860294
11,2,30,14518.4,13282.688405797102,984.3029183812716,-1235.7115942028977,-1.2554179929031182
11,3,30,14437.366666666667,13208.43188405797,975.6000344089152,-1228.934782608696,-1.2596707044534579
11,4,30,14487.733333333334,13343.084057971015,978.349036707489,-1144.6492753623188,-1.1699804797830562
11,5,30,14954.266666666666,13904.459420289855,1043.864354947239,-1049.8072463768112,-1.0056931644436433
11,6,30,15919.8,15051.773913043477,1299.5982558484777,-868.0260869565227,-0.6679187841705808
11,7,30,16863.766666666666,16208.414492753624,1616.1748751529246,-655.3521739130429,-0.40549583092054475
11,8,30,17148.866666666665,16619.297101449276,1579.3326584352924,-529.569565217389,-0.335312236082077
11,9,30,17098.866666666665,16730.46811594203,1504.5557810866958,-368.39855072463615,-0.24485536219770654
11,10,30,17126.333333333332,16782.889855072463,1527.1220623662407,-343.4434782608696,-0.2248958919031736
11,11,30,17068.633333333335,16771.49855072464,1535.5650258044786,-297.1347826086967,-0.19350192119218693
11,12,30,17038.8,16698.80579710145,1502.5006490037197,-339.9942028985497,-0.22628556142321374
11,13,30,17100.266666666666,16660.076811594205,1499.584639603177,-440.1898550724618,-0.2935411869709106
11,14,30,17209.0,16667.49855072464,1445.4431176074809,-541.5014492753617,-0.3746266059723353
11,15,30,17592.133333333335,16911.572463768116,1361.2315204847155,-680.560869565219,-0.49995967572281963
11,16,30,18193.033333333333,17667.69420289855,1345.3147016797266,-525.3391304347824,-0.3904953463891066
11,17,30,18644.266666666666,18589.595652173914,1411.0179087215345,-54.671014492752875,-0.03874579773568433
11,18,30,18315.066666666666,18364.73043478261,1409.483383242077,49.66376811594455,0.03523544066316592
11,19,30,17978.2,17963.146376811594,1403.8391793694075,-15.053623188407073,-0.010723182120596628
11,20,30,17628.1,17522.908695652175,1398.409530560967,-105.19130434782346,-0.07522210200156913
11,21,30,17074.766666666666,16821.959420289855,1372.037630004259,-252.80724637681124,-0.1842567877500754
11,22,30,16314.733333333334,15805.652173913044,1276.7456250867444,-509.0811594202896,-0.39873342772230114
11,23,30,15619.166666666666,14733.83188405797,1138.1777025497202,-885.3347826086956,-0.7778528613110136
12,0,31,16627.645161290322,14940.849929873773,1166.745878563091,-1686.7952314165486,-1.4457263251651042
12,1,31,16258.451612903225,14449.225806451614,1163.2855679943225,-1809.2258064516118,-1.5552722875871197
12,2,31,16055.838709677419,14185.746143057504,1169.695387368088,-1870.0925666199146,-1.598785963264999
12,3,31,15940.870967741936,14083.401122019635,1176.7626077261978,-1857.4698457223003,-1.5784575695444647
12,4,31,16029.161290322581,14175.082748948107,1195.160683403796,-1854.0785413744743,-1.5513215646402392
12,5,31,16407.935483870966,14627.05329593268,1273.3323716203217,-1780.8821879382867,-1.398599633238025
12,6,31,17260.8064516129,15595.844319775597,1537.5114970427435,-1664.9621318373047,-1.0828941019561156
12,7,31,18179.032258064515,16778.736325385693,1913.8066317254954,-1400.2959326788223,-0.7316809908931656
12,8,31,18597.967741935485,17291.93267882188,1855.2586431821082,-1306.0350631136062,-0.7039638747476831
12,9,31,18831.451612903227,17553.427769985974,1688.6964308531176,-1278.0238429172532,-0.7568108865319295
12,10,31,18924.41935483871,17693.15007012623,1618.1897175541233,-1231.269284712478,-0.7608930345778793
12,11,31,18915.25806451613,17719.535764375873,1569.9858169303175,-1195.7223001402563,-0.7616134408641778
12,12,31,18833.0,17628.273492286116,1507.3268760732851,-1204.7265077138836,-0.7992470159175419
12,13,31,18885.322580645163,17555.297335203366,1506.7709171804743,-1330.0252454417969,-0.8826990422210893
12,14,31,18996.90322580645,17531.43197755961,1478.795849418337,-1465.4712482468422,-0.9909895600689332
12,15,31,19253.774193548386,17723.719495091165,1460.1394336119106,-1530.054698457221,-1.047882594796007
12,16,31,19679.032258064515,18546.950911640954,1517.931040017914,-1132.0813464235616,-0.7458055185499081
