daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
sunday,8,71,942.8853149414062,-0.016983292996883392,-0.06293299049139023,C
weekday,8,357,1039.7767333984375,7.005532825132832e-05,-0.06531529873609543,C
all,8,500,1026.512939453125,-0.007494413293898106,-0.05597850680351257,C
saturday,9,72,1097.984130859375,-0.03181321173906326,-0.005251222290098667,C
sunday,9,71,988.8367309570312,-0.020902147516608238,-0.022259892895817757,C
weekday,9,357,1095.8018798828125,-0.004249544348567724,-0.05924202501773834,C
all,9,500,1080.9271240234375,-0.010583382099866867,-0.046215880662202835,C
saturday,10,72,1154.5823974609375,-0.024226151406764984,-0.037044957280159,C
sunday,10,71,1038.599365234375,-0.017547255381941795,-0.0030418215319514275,C
weekday,10,357,1154.103515625,-0.006053823046386242,-0.05645359680056572,C
all,10,500,1137.7708740234375,-0.010302707552909851,-0.046074278652668,C
saturday,11,72,1217.746826171875,-0.021741028875112534,-0.04903709515929222,C
sunday,11,71,1097.5501708984375,-0.014342847280204296,-0.00625954894348979,C
weekday,11,357,1219.8975830078125,-0.003420185996219516,-0.053432684391736984,C
all,11,500,1202.2144775390625,-0.007609405554831028,-0.04610113427042961,C
saturday,12,72,1255.73486328125,-0.017563512548804283,-0.07152697443962097,C
sunday,12,71,1139.98681640625,-0.013347925618290901,-0.012177863158285618,C
weekday,12,357,1262.537841796875,-0.0038391968701034784,-0.05449778586626053,C
all,12,500,1244.1558837890625,-0.007165736053138971,-0.050940558314323425,C
saturday,13,72,1303.2586669921875,-0.01700398325920105,-0.06222258508205414,C
sunday,13,71,1189.381103515625,-0.010614467784762383,-0.014291196130216122,C
weekday,13,357,1311.9398193359375,-0.003475880715996027,-0.06207479536533356,C
all,13,500,1293.286376953125,-0.006437606178224087,-0.055310800671577454,C
saturday,14,72,1349.7752685546875,-0.011614305898547173,-0.06482596695423126,C
sunday,14,71,1231.4498291015625,-0.018053555861115456,-0.033876076340675354,C
weekday,14,357,1356.1263427734375,-0.0007061631185933948,-0.08342202007770538,C
all,14,500,1337.5076904296875,-0.004740264266729355,-0.07370865345001221,C
saturday,15,72,1366.1103515625,-0.013156164437532425,-0.07189957797527313,C
sunday,15,71,1247.3936767578125,-0.025033118203282356,-0.050132837146520615,C
weekday,15,357,1371.90234375,-0.0032233460806310177,-0.09574392437934875,C
all,15,500,1353.387939453125,-0.007750658318400383,-0.08583356440067291,C
saturday,16,72,1357.773193359375,-0.01072118990123272,-0.06643562018871307,C
sunday,16,71,1242.4951171875,-0.0292599368840456,-0.026830418035387993,C
weekday,16,357,1361.1502685546875,-0.008423014543950558,-0.10244184732437134,C
all,16,500,1343.81494140625,-0.011712794192135334,-0.08652013540267944,C
saturday,17,72,1321.0592041015625,-0.00789201445877552,-0.06195215880870819,C
sunday,17,71,1210.829833984375,-0.024379130452871323,-0.012005940079689026,C
weekday,17,357,1321.9779052734375,-0.009160377085208893,-0.10160867124795914,C
all,17,500,1306.0625,-0.0111387949436903,-0.08317454159259796,C
saturday,18,72,1306.728515625,-0.005067001096904278,-0.09251245856285095,C
sunday,18,71,1203.1180419921875,-0.017434945330023766,-0.008269306272268295,C
weekday,18,357,1309.4678955078125,-0.007140118163079023,-0.09790875017642975,C
all,18,500,1293.9718017578125,-0.008303456008434296,-0.0844028890132904,C
saturday,19,72,1312.76513671875,0.001235517323948443,-0.10847295820713043,C
sunday,19,71,1212.136962890625,-0.017025599256157875,-0.012845519930124283,C
weekday,19,357,1316.5478515625,-0.005944413598626852,-0.09845726191997528,C
all,19,500,1301.1767578125,-0.006484032608568668,-0.08774265646934509,C
saturday,20,72,1312.97119140625,0.007541113533079624,-0.11824929714202881,C
sunday,20,71,1215.19775390625,-0.0182841494679451,-0.026329709216952324,C
weekday,20,357,1318.128662109375,-0.002221272327005863,-0.0998544692993164,C
all,20,500,1302.769775390625,-0.0030964163597673178,-0.092062808573246,C
saturday,21,72,1308.45458984375,0.0037948479875922203,-0.13206148147583008,C
sunday,21,71,1210.114501953125,-0.019724421203136444,-0.032322198152542114,C
weekday,21,357,1311.0657958984375,-0.0006340885884128511,-0.09438373893499374,C
all,21,500,1296.354736328125,-0.002707148902118206,-0.09099660068750381,C
