level,daytype,horizon,n_days,cov_emp,se,cell
0.8,all,8,500,0.68,0.020861447696648473,C
0.8,saturday,9,72,0.3194444444444444,0.05494943273365379,C
0.8,sunday,9,71,0.30985915492957744,0.054880979931595526,C
0.8,weekday,9,357,0.8851540616246498,0.01687458673124291,C
0.8,all,9,500,0.722,0.020035768016225385,C
0.8,saturday,10,72,0.4861111111111111,0.05890282708333089,C
0.8,sunday,10,71,0.4225352112676056,0.05862259412843413,C
0.8,weekday,10,357,0.8095238095238095,0.020782656212951653,C
0.8,all,10,500,0.708,0.0203340109176719,C
0.8,saturday,11,72,0.5416666666666666,0.058720605990582514,C
0.8,sunday,11,71,0.4788732394366197,0.05928608843162535,C
0.8,weekday,11,357,0.7927170868347339,0.02145392477299269,C
0.8,all,11,500,0.712,0.020251222185339826,C
0.8,saturday,12,72,0.625,0.057054433073454806,C
0.8,sunday,12,71,0.5492957746478874,0.059049982004012076,C
0.8,weekday,12,357,0.7899159663865546,0.021560203797059262,C
0.8,all,12,500,0.732,0.0198078772209442,C
0.8,saturday,13,72,0.625,0.057054433073454806,C
0.8,sunday,13,71,0.5915492957746479,0.05833592935857883,C
0.8,weekday,13,357,0.7955182072829131,0.021346087037973825,C
0.8,all,13,500,0.742,0.019567115270269147,C
0.8,saturday,14,72,0.6666666666666666,0.05555555555555556,C
0.8,sunday,14,71,0.6197183098591549,0.05761302746414258,C
0.8,weekday,14,357,0.8319327731092437,0.019790261174521238,C
0.8,all,14,500,0.778,0.018585801031970613,C
0.8,saturday,15,72,0.6944444444444444,0.0542872194424008,C
0.8,sunday,15,71,0.647887323943662,0.05668411847740348,C
0.8,weekday,15,357,0.8599439775910365,0.018367576855438984,C
0.8,all,15,500,0.806,0.017684117167673367,C
0.8,saturday,16,72,0.7222222222222222,0.05278589931014528,C
0.8,sunday,16,71,0.7605633802816901,0.05064467838459024,C
0.8,weekday,16,357,0.8879551820728291,0.016693880586237504,C
0.8,all,16,500,0.846,0.016142118820031033,C
0.8,saturday,17,72,0.7916666666666666,0.04786128038920216,C
0.8,sunday,17,71,0.8169014084507042,0.04589846376912448,C
0.8,weekday,17,357,0.9131652661064426,0.014903467429075116,C
0.8,all,17,500,0.882,0.014427473791346842,C
0.8,saturday,18,72,0.7222222222222222,0.05278589931014528,C
0.8,sunday,18,71,0.8450704225352113,0.04294221526646172,C
0.8,weekday,18,357,0.927170868347339,0.013753028618363888,C
0.8,all,18,500,0.886,0.014212951839783317,C
0.8,saturday,19,72,0.7083333333333334,0.05356683548799136,C
0.8,sunday,19,71,0.8028169014084507,0.04721868874183584,C
0.8,weekday,19,357,0.9047619047619048,0.01553597077188842,C
0.8,all,19,500,0.862,0.01542439626046997,C
0.8,saturday,20,72,0.7083333333333334,0.05356683548799136,C
0.8,sunday,20,71,0.8169014084507042,0.04589846376912448,C
0.8,weekday,20,357,0.9215686274509803,0.01422900855475359,C
0.8,all,20,500,0.876,0.014739335127474372,C
0.8,saturday,21,72,0.7222222222222222,0.05278589931014528,C
0.8,sunday,21,71,0.8169014084507042,0.04589846376912448,C
0.8,weekday,21,357,0.9495798319327731,0.011580672433137902,C
0.8,all,21,500,0.898,0.013534843922262271,C
0.8,saturday,22,72,0.8333333333333334,0.04392052305789415,C
0.8,sunday,22,71,0.8591549295774648,0.041283584119470355,C
0.8,weekday,22,357,0.9551820728291317,0.01095052287292284,C
0.8,all,22,500,0.924,0.01185107590052481,C
0.8,saturday,23,72,0.9166666666666666,0.03257233166544049,C
0.8,sunday,23,71,0.8591549295774648,0.041283584119470355,C
