daytype,horizon,n_days,crps_mw,cell
sunday,7,71,965.6063076855447,D
weekday,7,357,410.7171688607329,D
all,7,500,584.1900109029522,D
saturday,8,72,1317.9243329126646,D
sunday,8,71,1266.112815037307,D
weekday,8,357,465.5976075352802,D
all,8,500,702.0058154549112,D
saturday,9,72,1149.9862035696603,D
sunday,9,71,1210.1221035311075,D
weekday,9,357,528.2340109388801,D
all,9,500,714.5944358258087,D
saturday,10,72,1060.1519405655938,D
sunday,10,71,1147.864277941617,D
weekday,10,357,627.0680016428485,D
all,10,500,763.3851600821491,D
saturday,11,72,1011.9544296276576,D
sunday,11,71,1106.0658143607836,D
weekday,11,357,697.2753132860007,D
all,11,500,800.6373571918185,D
saturday,12,72,958.452290063599,D
sunday,12,71,1027.844708936131,D
weekday,12,357,713.6912334611333,D
all,12,500,793.5466191293381,D
saturday,13,72,952.9346899570824,D
sunday,13,71,988.5959571936766,D
weekday,13,357,704.6807749163579,D
all,13,500,780.7452945656015,D
saturday,14,72,933.8875013624711,D
sunday,14,71,936.9376364070295,D
weekday,14,357,677.9338297315039,D
all,14,500,751.5696989942878,D
saturday,15,72,898.9481384904393,D
sunday,15,71,871.7320381064653,D
weekday,15,357,647.5977957798226,D
all,15,500,715.6193075405347,D
saturday,16,72,830.3482811573057,D
sunday,16,71,778.5745546656588,D
weekday,16,357,611.4818364642497,D
all,16,500,666.7257704846498,D
saturday,17,72,784.5290667564439,D
sunday,17,71,669.8943085759178,D
weekday,17,357,564.5733465881249,D
all,17,500,611.2025468946293,D
saturday,18,72,808.2424092801518,D
sunday,18,71,623.1188350402155,D
weekday,18,357,558.0888059079042,D
all,18,500,603.345188930296,D
saturday,19,72,860.0345209282087,D
sunday,19,71,641.3847561289336,D
weekday,19,357,560.9182518622634,D
all,19,500,615.4172382136267,D
saturday,20,72,909.1860564411958,D
sunday,20,71,664.5528562403789,D
weekday,20,357,531.5454481433943,D
all,20,500,604.8127476880497,D
saturday,21,72,892.6549211859265,D
sunday,21,71,665.1409660455668,D
weekday,21,357,508.6555025576499,D
all,21,500,586.172354655406,D
saturday,22,72,732.5101058849206,D
sunday,22,71,602.656186794033,D
weekday,22,357,465.21368299873734,D
all,22,500,523.2212034332798,D
saturday,23,72,528.2327774369896,D
sunday,23,71,517.7513254777961,D
weekday,23,357,426.7632852261901,D
all,23,500,454.29519382027325,D
saturday,24,72,426.4973488277433,D
sunday,24,71,497.85921138690253,D
weekday,24,357,437.1027663262424,D
